Student Id	1-1a	1-1m	1-2a	1-2m	1-3a	1-3m	1-4a	1-4m	1-5a	1-5m	1-6a	1-6m	Total
????-?1?41	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?3?87	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?2?05	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?0?35	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?0?92	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?0?12	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?4?94	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?9?85	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?1?12	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?3?22	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?3?69	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?6?22	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?7?77	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?7?80	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?1?17	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?1?85	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?3?42	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?5?97	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?6?42	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?7?18	10	10	10	10	10	10	10	10	10	10	10	10	120
????-?0?85	10	10	10	10	10	10	10	10	9	10	10	10	119
????-?2?13	10	10	10	10	10	10	10	10	8	10	10	10	118
????-?7?05	10	10	10	10	1	9	10	10	10	10	9	10	109
????-?8?90	10	10	10	10	10	10	10	10	3	5	10	10	108
????-?9?44	10	10	10	10	10	10	10	10	3	5	10	10	108
????-?7?15	10	10	10	10	10	10	10	10	10	10	3	5	108
????-?4?60	10	10	10	10	10	10	10	10	2	4	10	10	106
????-?5?62	10	10	0	6	10	10	10	10	10	10	10	10	106
????-?1?16	10	10	10	10	10	10	10	10	0	6	10	10	106
????-?9?81	10	10	10	10	10	10	10	10	0	4	10	10	104
????-?0?15	9	10	9	10	9	10	0	8	9	10	9	10	103
????-?8?79	10	10	10	10	10	10	10	10	0.9	2	9	10	101.9
????-?0?30	10	10	10	10	8	10	10	10	0	2	10	10	100
????-?7?76	0	10	10	10	10	10	10	10	3	5	10	10	98
????-?1?52	10	10	10	10	10	10	10	10	3	5	3	5	96
????-?9?80	10	10	10	10	1	8	1	7	3	10	10	10	90
????-?1?44	10	10	10	10	1	4	0	2	3	5	0	2	57
????-?1?84	0	6	0	6	9	10	9	10	0	2	0	0	52
????-?4?16	9	10	9	10	0	4	0	2	0	0	0	0	44
????-?4?20	0	9	0	2	1	4	0	4	10	10	0	0	40
????-?1?79	0	2	0	8	0	2	0	2	0	2	0	2	18
????-?4?73	0	7	0	8	0	0	0	0	0	2	0	0	17
????-?3?07	0	4	0	0	0	0	0	0	0	0	0	0	4
