Student Id	[2-1]a	[2-1]m	[2-2]a	[2-2]m	[2-3]a	[2-3]m	[2-4]a	[2-4]m	Total
????-?1?41	10	10	10	10	10	10	10	10	80
????-?0?35	10	10	10	10	10	10	10	10	80
????-?1?52	10	10	10	10	10	10	10	10	80
????-?0?92	10	10	10	10	10	10	10	10	80
????-?8?90	10	10	10	10	10	10	10	10	80
????-?0?12	10	10	10	10	10	10	10	10	80
????-?1?12	10	10	10	10	10	10	10	10	80
????-?3?22	10	10	10	10	10	10	10	10	80
????-?3?69	10	10	10	10	10	10	10	10	80
????-?5?62	10	10	10	10	10	10	10	10	80
????-?6?22	10	10	10	10	10	10	10	10	80
????-?7?77	10	10	10	10	10	10	10	10	80
????-?7?80	10	10	10	10	10	10	10	10	80
????-?1?17	10	10	10	10	10	10	10	10	80
????-?1?85	10	10	10	10	10	10	10	10	80
????-?5?97	10	10	10	10	10	10	10	10	80
????-?7?18	10	10	10	10	10	10	10	10	80
????-?2?05	10	10	10	10	10	10	9	10	79
????-?4?94	10	10	10	10	10	10	9	10	79
????-?0?30	10	10	10	10	10	10	9	10	79
????-?4?73	10	10	9	10	9	10	9	10	77
????-?9?80	10	10	10	10	10	10	7	9	76
????-?9?44	10	10	10	10	10	10	7	9	76
????-?3?87	0	10	10	10	10	10	10	10	70
????-?4?60	10	10	0	10	10	10	10	10	70
????-?1?16	10	10	0	10	10	10	10	10	70
????-?7?05	9	10	9	10	9	10	6.3	5	68.3
????-?0?15	10	10	0	10	9	10	9	10	68
????-?7?76	10	10	0	10	10	10	7	9	66
????-?7?15	0	10	0	10	10	10	10	10	60
????-?0?85	10	10	10	10	3	5	0	9	57
????-?9?85	10	10	0	10	0	10	0	10	50
????-?2?13	10	10	0	10	0	10	0	10	50
????-?3?42	10	10	0	10	0	10	0	10	50
????-?6?42	10	10	0	10	0	10	0	10	50
????-?1?79	10	10	0	10	0	10	0	2	42
????-?1?44	0	10	0	10	0	8	0	2	30
????-?8?79	10	10	0	0	3	5	0	0	28
????-?1?84	9	10	0	0	0	0	0	0	19
