    Student Id	[3-1]a	[3-1]m	[3-2]a	[3-2]m	[3-3]a	[3-3]m	Total
????-?1?41	10	10	10	10	10	10	60
????-?3?87	10	10	10	10	10	10	60
????-?0?35	10	10	10	10	10	10	60
????-?6?22	10	10	10	10	10	10	60
????-?7?18	10	10	10	10	10	10	60
????-?1?52	10	10	9	10	10	10	59
????-?8?90	8	10	10	10	10	10	58
????-?9?85	8	10	10	10	10	10	58
????-?3?69	10	8	10	10	10	10	58
????-?9?44	8	10	10	10	10	10	58
????-?4?60	10	10	10	10	7.5	10	57.5
????-?0?12	9	8	10	10	10	10	57
????-?7?77	9	10	8	10	9	10	56
????-?7?80	10	8	10	10	10	8	56
????-?1?16	7	8	10	10	10	10	55
????-?2?05	10	8	10	8	10	8	54
????-?2?13	0	10	10	10	10	10	50
????-?5?62	6	6	9	10	9	10	50
????-?1?17	3	5	10	10	10	10	48
????-?0?92	5	2	10	10	10	10	47
????-?4?94	6	4	9	10	7.5	10	46.5
????-?6?42	10	8	10	8	0	10	46
????-?0?15	10	10	0	4	10	10	44
????-?1?12	6	6	0	4	10	10	36
????-?0?85	5	6	0	4	10	10	35
????-?7?15	3	5	0	4	10	10	32
????-?1?85	7	4	1	4	5	6	27
????-?0?30	5.4	5	0	4	2.25	9	25.65
????-?5?97	6	4	0	2	7.5	4	23.5
????-?1?84	6.3	5	0	2	0	9	22.3
????-?3?22	6	6	0	5	0	4	21
????-?3?42	1	2	0	2	0	2	7
????-?1?44	0	2	0	2	0	2	6
