Student Id	[4-1]a	[4-1]m	[4-2]a	[4-2]m	[4-3]a	[4-3]m	[4-4]a	[4-4]m	[4-5]a	[4-5]m	Total
????-?1?41	10	10	10	10	10	10	10	10	10	10	100
????-?3?87	10	10	10	10	10	10	10	10	10	10	100
????-?2?05	10	10	10	10	10	10	10	10	10	10	100
????-?0?92	10	10	10	10	10	10	10	10	10	10	100
????-?8?90	10	10	10	10	10	10	10	10	10	10	100
????-?3?69	10	10	10	10	10	10	10	10	10	10	100
????-?1?17	10	10	10	10	10	10	10	10	10	10	100
????-?9?85	10	10	10	10	10	10	9	10	10	10	99
????-?7?77	10	10	10	10	10	10	9	10	10	10	99
????-?7?80	10	10	10	10	10	10	9	10	10	10	99
????-?0?12	10	10	10	10	6	8	10	10	10	10	94
????-?1?12	10	10	10	10	6	8	10	10	10	10	94
????-?6?42	10	10	10	10	6	8	10	10	10	10	94
????-?9?44	10	10	10	10	10	10	1	9	10	10	90
????-?4?94	9.5	10	10	10	10	10	10	10	10	0	89.5
????-?1?16	10	10	10	10	10	10	9	10	10	0	89
????-?4?60	9	10	9	10	9	10	3.6	9	9	10	88.6
????-?6?22	10	10	10	10	2	9	7	9	10	10	87
????-?0?15	9	10	9	10	9	10	9	10	9	0	85
????-?1?52	10	10	10	10	0	5	10	10	10	10	85
????-?3?22	10	10	10	10	10	10	5	9	10	0	84
????-?7?18	10	10	10	10	0	8	1	9	10	10	78
????-?9?80	10	10	10	10	10	10	4	9	0	0	73
????-?7?05	10	10	10	10	0	9	10	10	0	0	69
????-?0?30	8.5	4	10	10	0	5	10	10	10	0	67.5
????-?1?44	7	4	8.5	10	10	10	2	5	10	0	66.5
????-?0?35	7.5	4	5	10	0	5	1	9	10	10	61.5
????-?0?85	9.5	10	10	10	10	10	0	2	0	0	61.5
????-?5?62	9.5	10	0	6	0	6	0	9	10	10	60.5
????-?2?13	7.5	2	9	10	0	6	0	9	9	0	52.5
????-?1?85	7.5	4	5	10	0	6	1	9	0	0	42.5
????-?5?97	0	2	0	6	0	9	0	9	0	10	36
????-?1?84	0	5	0	10	0	5	0	2	0	0	22
????-?1?79	0	2	0	6	0	0	0	0	0	0	8
